txn_id,posted_date,amount,running_balance,txn_type,description,check_number,account
BK00001,2026-01-01,-4100.0,845900.0,ACH_DEBIT,ACH DEBIT HARBOR INS PPD 669863085,,Operating ****0042
BK00002,2026-01-01,-24500.0,821400.0,ACH_DEBIT,ACH DEBIT PINECREST PROP PPD 559123743,,Operating ****0042
BK00003,2026-01-15,-140881.41,680518.59,ACH_DEBIT,ADP PAYROLL 4652290 TAX/NET,,Operating ****0042
BK00004,2026-01-19,-3200.0,677318.59,ACH_DEBIT,ACH DEBIT VANTAGE SW ID:VS-102,,Operating ****0042
BK00005,2026-01-19,-6351.58,670967.01,ACH_DEBIT,ACH DEBIT NORTHSTAR STAF ID:NSS-102,,Operating ****0042
BK00006,2026-01-29,-17699.37,653267.64,WIRE_OUT,WIRE OUT CLOUDNIMBUS INC BNF ACCT ****4410 REF 371764,,Operating ****0042
BK00007,2026-01-30,287.44,653555.08,INTEREST,INTEREST PAYMENT,,Operating ****0042
BK00008,2026-01-30,-45.0,653510.08,FEE,MONTHLY SERVICE FEE ANALYSIS,,Operating ****0042
BK00009,2026-01-30,-143729.95,509780.13,ACH_DEBIT,ADP PAYROLL 9666030 TAX/NET,,Operating ****0042
BK00010,2026-02-02,33246.27,543026.4,ACH_CREDIT,ACH CREDIT TIDEWATER FOODS TRN 4178552,,Operating ****0042
BK00011,2026-02-02,26344.47,569370.87,ACH_CREDIT,ACH CREDIT BLUEWATER MARINE INV AR-1046,,Operating ****0042
BK00012,2026-02-02,-4100.0,565270.87,ACH_DEBIT,ACH DEBIT HARBOR INS ID:HIC-105,,Operating ****0042
BK00013,2026-02-02,-24500.0,540770.87,ACH_DEBIT,ACH DEBIT PINECREST PROP ID:PCP-105,,Operating ****0042
BK00014,2026-02-04,-1823.32,538947.55,CHECK,CHECK 1023,1023,Operating ****0042
BK00015,2026-02-05,45765.42,584712.97,ACH_CREDIT,ACH CREDIT LUMEN ANALYTICS INV AR-1052,,Operating ****0042
BK00016,2026-02-06,41806.23,626519.2,ACH_CREDIT,ACH CREDIT REDWOOD HEALTH TRN 4857765,,Operating ****0042
BK00017,2026-02-06,15316.66,641835.86,ACH_CREDIT,ACH CREDIT ORBIT RETAIL TRN 4326756,,Operating ****0042
BK00018,2026-02-09,51136.9,692972.76,ACH_CREDIT,ACH CREDIT APEX MFG TRN 4731386,,Operating ****0042
BK00019,2026-02-11,-9750.0,683222.76,ACH_DEBIT,ACH DEBIT SUMMIT CONSULT PPD 650037437,,Operating ****0042
BK00020,2026-02-11,-31270.12,651952.64,ACH_DEBIT,ACH DEBIT ACME SUPPLY ID:ACM-104,,Operating ****0042
BK00021,2026-02-12,-4127.72,647824.92,CHECK,CHECK 1021,1021,Operating ****0042
BK00022,2026-02-13,-144370.19,503454.73,ACH_DEBIT,ADP PAYROLL 6229033 TAX/NET,,Operating ****0042
